dateyear,datemonth,dateday,datehour,dateminute,f0_,f1_
2020,1,2,11,1.0,0xef693bed,1
2020,1,2,14,0.0,0x3b4da69f,2
2020,1,2,14,1.0,0xef693bed,1
2020,1,2,15,1.0,0x3b4da69f,1
2020,1,2,16,0.0,0xef693bed,1
2020,1,2,17,1.0,0x3b4da69f,2
2020,1,3,14,0.0,0x3b4da69f,1
2020,1,3,18,0.0,0x3b4da69f,1
2020,1,3,19,0.0,0xef693bed,1
2020,1,7,16,1.0,0x3b4da69f,1
2020,1,8,11,1.0,0x3b4da69f,2
2020,1,8,22,0.0,0x3b4da69f,1
2020,1,9,22,0.0,0xef693bed,1
2020,1,9,22,0.0,0x3b4da69f,1
2020,1,13,15,0.0,0x3b4da69f,1
2020,1,13,15,1.0,0x3b4da69f,1
2020,1,13,16,1.0,0x3b4da69f,1
2020,1,15,16,0.0,0xef693bed,1
2020,1,17,16,0.0,0x3b4da69f,1
2020,1,18,7,0.0,0x3b4da69f,1
2020,1,18,7,0.0,0xef693bed,1
2020,1,21,14,1.0,0x3b4da69f,2
2020,1,22,13,1.0,0x3b4da69f,1
2020,1,22,14,0.0,0x3b4da69f,1
2020,1,22,15,1.0,0x3b4da69f,1
2020,1,22,15,1.0,0xef693bed,1
2020,1,23,4,1.0,0x3b4da69f,1
2020,1,28,20,1.0,0x3b4da69f,1
2020,1,29,7,0.0,0xef693bed,1
2020,1,30,14,0.0,0x3b4da69f,1
2020,1,30,14,1.0,0xef693bed,1
2020,1,30,14,1.0,0x3b4da69f,1
2020,1,30,21,0.0,0xef693bed,2
2020,1,30,21,0.0,0x3b4da69f,1
2020,1,30,22,0.0,0x3b4da69f,1
2020,2,1,3,0.0,0x3b4da69f,1
2020,2,2,19,1.0,0x3b4da69f,1
2020,2,3,14,0.0,0x3b4da69f,2
2020,2,4,10,1.0,0x3b4da69f,1
2020,2,4,11,0.0,0x3b4da69f,2
2020,2,7,10,1.0,0x3b4da69f,2
2020,2,7,10,1.0,0xef693bed,2
2020,2,7,14,1.0,0x3b4da69f,1
2020,2,7,15,0.0,0x3b4da69f,3
2020,2,7,15,1.0,0x3b4da69f,1
