Sum of Count,Column Labels,,,
Row Labels,burnSynths (0x295da87d),issueMaxSynths (0x8a290014),issueSynths (0xaf086c7e),Grand Total
"Tuesday, 10 March 2020",140,49,84,273
"Wednesday, 11 March 2020",165,96,360,621
"Thursday, 12 March 2020",90,5,35,130
"Friday, 13 March 2020",85,12,31,128
"Saturday, 14 March 2020",83,34,55,172
"Sunday, 15 March 2020",84,6,32,122
"Monday, 16 March 2020",83,13,17,113
"Tuesday, 17 March 2020",77,11,49,137
"Wednesday, 18 March 2020",216,25,74,315
"Thursday, 19 March 2020",117,17,26,160
"Friday, 20 March 2020",97,10,53,160
"Saturday, 21 March 2020",49,8,40,97
Grand Total,1286,286,856,2428
Grand Total,1418,309,932,2659
